"","Article_day","Article_Total","Date","Article_Num","website","link","headline","daily.article.number","total.article.number","Month","Day","Pariticipant_1_Eval","Pariticipant_2_Eval","Pariticipant_3_Eval","Pariticipant_4_Eval","Pariticipant_5_Eval","Pariticipant_6_Eval","Pariticipant_1_Likert_Eval","Pariticipant_2_Likert_Eval","Pariticipant_3_Likert_Eval","Pariticipant_4_Likert_Eval","Pariticipant_5_Likert_Eval","Pariticipant_6_Likert_Eval"
"1","dec 10_1",56,"10-Dec","rss_con","teaparty.org","https://www.teaparty.org/breaking-ukrainian-official-reveals-six-criminal-cases-opened-in-ukraine-involving-the-bidens-420208/","Breaking: Ukrainian Official Reveals Six Criminal Cases Opened In Ukraine Involving The Bidens",1,56,"dec","10","Misl/False","Misl/False","CND","Misl/False","Misl/False","CND","2","3","1","3","2","3"
"2","dec 10_2",57,"10-Dec","rss_lib","palmer report","https://www.palmerreport.com/analysis/nancy-pelosi-knows-something-we-dont/23491/","Nancy Pelosi knows something we don’t",2,57,"dec","10","Misl/False","True","Misl/False","CND","Misl/False","CND","2","5","3","4","4","2"
"3","dec 10_3",58,"10-Dec","rss_unclear","stillnessinthestorm","https://stillnessinthestorm.com/2019/12/stressed-to-the-max-deep-sleep-can-rewire-the-anxious-brain/","Stressed to the Max? Deep Sleep Can Rewire the Anxious Brain",3,58,"dec","10","True","True","True","True","True","CND","7","6","6","5","5","6"
"4","dec 10_4",59,"10-Dec","ct_con","townhall","https://townhall.com/tipsheet/juliorosas/2019/12/09/joe-biden-claims-no-one-told-him-about-potential-conflict-of-interest-with-hunters-job-at-burisma-n2557688/?utm_content=buffer644e4&utm_medium=social&utm_source=facebook.com&utm_campaign=buffer","Joe Biden Claims No One Told Him About Potential Conflict of Interest With Hunter's Job at Burisma",4,59,"dec","10","True","True","True","True","True","True","7","6","6","5","7","7"
"5","dec 10_5",60,"10-Dec","ct_lib","washington post","https://www.washingtonpost.com/sports/2019/12/09/megan-rapinoe-is-sports-illustrateds-sportsperson-year-only-fourth-woman-chosen-alone/?tid=sm_fb","Megan Rapinoe is Sports Illustrated’s Sportsperson of the Year, only the fourth woman chosen alone",5,60,"dec","10","True","True","True","True","True","True","7","7","7","6","7","7"
"6","dec 11_1",61,"11-Dec","rss_con","clashdaily","https://clashdaily.com/2019/12/ukraine-advisor-disputes-key-point-in-impeachment-testimony-is-this-bad-news-for-democrats/","Ukraine Advisor Disputes Key Point In Impeachment Testimony — Is This Bad News For Democrats?",1,61,"dec","11","Misl/False","Misl/False","Misl/False","Misl/False","Misl/False","True","3","2","3","4","5","6"
"7","dec 11_2",62,"11-Dec","rss_lib","crooksandliars","https://crooksandliars.com/2019/12/tucker-carlsons-white-power-hour-guest","Tucker Carlson's White Power Hour Guest: AOC's District Is The 'Least American'",2,62,"dec","11","True","True","True","True","True","Misl/False","7","4","6","5","6","2"
"8","dec 11_3",63,"11-Dec","rss_unclear","themindunleashed","https://themindunleashed.com/2019/12/since-feeding-the-homeless-is-illegal-activists-carry-ar-15s-to-give-out-food-supplies.html","Since Feeding the Homeless is Illegal, Activists Carry AR-15s to Give Out Food, Supplies",3,63,"dec","11","Misl/False","Misl/False","True","CND","CND","Misl/False","2","5","4","3","4","5"
"9","dec 11_4",64,"11-Dec","ct_con","cnbc","https://www.cnbc.com/2019/12/10/house-democrats-announce-articles-of-impeachment-against-trump.html?__source=facebook%7Cmain","House Democrats announce articles of impeachment against Trump: Abuse of power, obstruction of Congress",4,64,"dec","11","True","True","True","True","True","True","7","7","7","5","7","7"
"10","dec 11_5",65,"11-Dec","ct_lib","huffington post","https://www.huffpost.com/entry/art-acevedo-ted-cruz-mitch-mcconnell-nra-gun-victims_n_5def2944e4b05d1e8a56fa2f?section=politics&utm_campaign=hp_fb_pages&utm_source=main_fb&utm_medium=facebook&ncid=fcbklnkushpmg00000063","Police Chief Tears Into Ted Cruz, McConnell For Caring More About NRA Than Gun Victims",5,65,"dec","11","True","True","True","True","True","True","7","7","7","6","6","6"
"11","dec 12_1",66,"12-Dec","rss_con","iotwreport","https://iotwreport.com/nycs-de-blasio-deports-thousands-of-homeless-families-across-america/","NYC’s De Blasio Deports Thousands of Homeless Families Across America",1,66,"dec","12","Misl/False","Misl/False","Misl/False",NA,"True","Misl/False","1","3","4",NA,"5","3"
"12","dec 12_2",67,"12-Dec","rss_lib","occupydemocrats","https://occupydemocrats.com/2019/12/10/bushs-ethics-chief-trumps-are-an-organized-crime-family-we-need-to-go-after-all-of-them/","Bush’s ethics chief: Trumps are an “organized crime family,” we need to “go after all of them”",2,67,"dec","12","True","True","True",NA,"True","True","7","5","6",NA,"6","7"
"13","dec 12_3",68,"12-Dec","rss_unclear","zerohedge","https://www.zerohedge.com/geopolitical/russias-only-aircraft-carrier-admiral-kuznetsov-has-erupted-flames","Russia's Only Aircraft Carrier Has Erupted In Flames",3,68,"dec","12","True","True","True",NA,"True","True","7","7","4",NA,"6","6"
"14","dec 12_4",69,"12-Dec","ct_con","fox news","https://www.foxnews.com/politics/pastors-worship-leaders-pray-for-trump-in-oval-office-amid-impeachment-fight","Pastors, worship leaders pray for Trump in Oval Office amid impeachment fight",4,69,"dec","12","True","True","Misl/False",NA,"True","True","6","6","5",NA,"6","7"
"15","dec 12_5",70,"12-Dec","ct_lib","the gaurdian","https://www.theguardian.com/us-news/2019/dec/11/donald-trump-jr-mongolia-rare-endangered-sheep-permit?CMP=fb_gu&utm_medium=Social&utm_source=Facebook#Echobox=1576106294","Donald Trump Jr killed rare endangered sheep in Mongolia with special permit",5,70,"dec","12","True","True","True",NA,"True","Misl/False","7","7","7",NA,"7","6"
"16","dec 16_1",71,"16-Dec","rss_con","thegatewaypundit","https://www.thegatewaypundit.com/2019/12/trans-activists-target-olympic-cyclist-inga-thompson-for-saying-women-shouldnt-have-to-compete-with-biological-men/","Trans Activists Target Olympic Cyclist Inga Thompson For Saying Women Shouldn’t Have To Compete With Biological Men",1,71,"dec","16","Misl/False","True","Misl/False","Misl/False","Misl/False","True","2","5","3","4","6","5"
"17","dec 16_2",72,"16-Dec","rss_lib","bipartisanreport","https://bipartisanreport.com/2019/12/14/trump-attacks-congresswoman-for-not-having-his-back/","Trump Attacks Congresswoman For Not Having His Back",2,72,"dec","16","True","True","True","Misl/False","True","Misl/False","6","5","6","5","6","5"
"18","dec 16_3",73,"16-Dec","rss_unclear","ijr","https://ijr.com/trump-poised-week-become-third-president-impeached/","Trump Poised This Week to Become Third U.S. President Impeached",3,73,"dec","16","Misl/False","True","True","True","True","Misl/False","5","7","5","6","7","4"
"19","dec 16_4",74,"16-Dec","ct_con","washingtion times","https://www.washingtontimes.com/news/2019/dec/15/james-comey-fox-news-sunday-admits-real-sloppiness/","I was wrong': James Comey admits 'real sloppiness' in Russia probe",4,74,"dec","16","True","True","True","True","True","Misl/False","6","6","5","5","6","3"
"20","dec 16_5",75,"16-Dec","ct_lib","nytimes","https://www.nytimes.com/2019/12/15/style/black-women-win-beauty-pageants.html?smid=fb-nytimes&smtyp=cur","Black Women Now Hold Crowns in 5 Major Beauty Pageants",5,75,"dec","16","True","True","True","True","True","True","7","7","7","6","7","7"
"21","dec 17_1",76,"17-Dec","rss_con","teaparty.org","https://www.teaparty.org/back-home-in-pelosis-san-francisco-homeless-drug-addicts-are-now-taking-dumps-in-the-supermarket-aisles-421170/","Back Home In Pelosi’s San Francisco: Homeless Drug Addicts Are Now Taking Dumps In The Supermarket Aisles",1,76,"dec","17","True","Misl/False","Misl/False","Misl/False","Misl/False","CND","6","5","1","3","5","5"
"22","dec 17_2",77,"17-Dec","rss_lib","palmer report","https://www.palmerreport.com/analysis/retweeting-bizarre-fake-account/23745/","Donald Trump caught retweeting bizarre fake account",2,77,"dec","17","True","True","CND","CND","True","CND","6","5","2","4","5","3"
"23","dec 17_3",78,"17-Dec","rss_unclear","true activist","http://www.trueactivist.com/kansas-city-makes-public-transportation-free-become-the-first-major-city-in-the-u-s-to-make-this-progressive-change-t1/","Kansas City Makes Public Transportation Free, Become The First Major City In The U.S. To Make This Progressive Change",3,78,"dec","17","CND","True","CND","True","CND","CND","4","7","4","6","4","6"
"24","dec 17_4",79,"17-Dec","ct_con","ijr red","https://ijr.com/schiff-vote-impeach-obama-engaged-similar-conduct/","Schiff Says He Would Vote to Impeach Obama If He Engaged in Similar Conduct",4,79,"dec","17","True","True","True","True","True","Misl/False","6","7","6","5","6","5"
"25","dec 17_5",80,"17-Dec","ct_lib","yahoo news","https://www.yahoo.com/news/barack-obama-women-singapore-115412140.html?ncid=facebook_yahoonewsf_akfmevaatca","Barack Obama: Women Ruling All Nations Would Improve 'Just About Everything'",5,80,"dec","17","True","True","True","True","True","True","6","7","7","5","6","7"
"26","dec 18_1",81,"18-Dec","rss_con","conservative firing line","https://conservativefiringline.com/video-of-the-day-dem-rep-raskin-thanks-congressman-helping-form-rules-for-sham-impeachment-of-trump-who-was-impeached-for-bribery/","Video of the Day: Dem Rep Raskin thanks Congressman helping form rules for sham impeachment of Trump who was impeached for bribery",1,81,"dec","18","Misl/False","Misl/False","True","True","Misl/False","Misl/False","2","2","4","4","2","4"
"27","dec 18_2",82,"18-Dec","rss_lib","crooksandliars","https://crooksandliars.com/2019/12/no-punches-pulled-climate-themed-campaign","No Punches Pulled In Climate-Themed Campaign Ad",2,82,"dec","18","True","True","True","True","True","CND","7","5","6","5","7","5"
"28","dec 18_3",83,"18-Dec","rss_unclear","world truth tv","https://worldtruth.tv/wall-street-journal-investigation-finds-amazon-com-selling-dumpster-trash-food-supplements-as-new/","Wall Street Journal Investigation Finds Amazon.com Selling Dumpster Trash Food & Supplements As New",3,83,"dec","18","Misl/False","Misl/False","True","True","True","CND","3","4","5","5","7","4"
"29","dec 18_4",84,"18-Dec","ct_con","nypost","https://nypost.com/2019/12/17/karol-sanchez-staged-her-own-kidnapping-police-sources/?utm_source=NYPFacebook&sr_share=facebook&utm_campaign=SocialFlow&utm_medium=SocialFlow","Teen Karol Sanchez staged her own Bronx kidnapping: police sources",4,84,"dec","18","True","True","Misl/False","True","Misl/False","True","6","7","4","5","6","6"
"30","dec 18_5",85,"18-Dec","ct_lib","nbc ","https://www.nbcnews.com/news/us-news/video-shows-girl-16-apparently-kidnapped-nyc-street-front-mom-n1103176?cid=sm_npd_nn_fb_ma","Police investigating whether teen staged her own kidnapping in Bronx",5,85,"dec","18","True","True","True","True","True","True","7","7","6","5","7","6"
"31","dec 19_1",86,"19-Dec","rss_con","conservative post","https://conservativepost.com/these-democrats-voted-against-impeaching-trump/","These Democrats Voted AGAINST Impeaching Trump",1,86,"dec","19","Misl/False","True","Misl/False",NA,"True","Misl/False","2","6","4",NA,"6","5"
"32","dec 19_2",87,"19-Dec","rss_lib","occupydemocrats","https://occupydemocrats.com/2019/12/18/shaken-trump-vows-democrats-will-see-backlash-at-the-box-office-after-impeachment-verdict/","Shaken Trump vows Democrats will see backlash at “the box office” after impeachment verdict",2,87,"dec","19","True","True","True",NA,"True","CND","7","5","5",NA,"6","2"
"33","dec 19_3",88,"19-Dec","rss_unclear","themindunleashed","https://themindunleashed.com/2019/12/un-peacekeepers-fathered-hundreds-babies-girls-haiti.html","UN Peacekeepers Fathered Hundreds of Babies With Girls in Haiti as Young as 11",3,88,"dec","19","Misl/False","True","True",NA,"True","CND","2","6","7",NA,"6","4"
"34","dec 19_4",89,"19-Dec","ct_con","cnbc","https://www.cnbc.com/2019/12/18/trump-impeached-by-house-for-high-crimes-and-misdemeanors.html?__source=facebook%7Cmain","President Trump is impeached in a historic vote by the House, will face trial in the Senate",4,89,"dec","19","True","True","True",NA,"True","True","7","7","7",NA,"7","7"
"35","dec 19_5",90,"19-Dec","ct_lib","cbsnews","https://www.cbsnews.com/live-updates/trump-impeachment-vote-live-stream-today-house-of-representatives-articles-of-impeachment-2019-12-18/","House impeaches Trump for abuse of power and obstruction in historic rebuke",5,90,"dec","19","True","True","True",NA,"True","True","7","7","7",NA,"7","7"
"36","dec 2_1",31,"2-Dec","rss_con","dailycaller","https://dailycaller.com/2019/12/02/steve-bullock-drops-out-presidential-race/","Montana Gov. Bullock Drops Out Of 2020 Presidential Race",1,31,"dec","2","True","True","True","True",NA,"True","7","6","7","5",NA,"7"
"37","dec 2_2",32,"2-Dec","rss_lib","bipartisanreport","https://bipartisanreport.com/2019/12/01/senator-announces-impeach-vote-hint-that-has-trump-fuming/","Senator Announces Impeach Vote Hint That Has Trump Fuming",2,32,"dec","2","CND","True","CND","Misl/False",NA,"Misl/False","4","5","2","3",NA,"2"
"38","dec 2_3",33,"2-Dec","rss_unclear","collective evolution","https://www.collective-evolution.com/2019/11/29/bestselling-novelist-who-wrote-about-vaccine-industry-deception-found-dead/","Bestselling Novelist Who Wrote About Vaccine Industry Deception Found Dead",3,33,"dec","2","Misl/False","Misl/False","Misl/False","Misl/False",NA,"Misl/False","5","4","3","2",NA,"2"
"39","dec 2_4",34,"2-Dec","ct_con","nypost","https://nypost.com/2019/11/29/f-k-white-people-graffiti-found-outside-queens-home/?sr_share=facebook&utm_medium=SocialFlow&utm_source=NYPFacebook&utm_campaign=SocialFlow","‘F–K WHITE PEOPLE’ graffiti found outside Queens home",4,34,"dec","2","Misl/False","True","True","CND",NA,"True","4","7","5","4",NA,"7"
"40","dec 2_5",35,"2-Dec","ct_lib","nbcnews","https://www.nbcnews.com/politics/trump-impeachment-inquiry/white-house-will-not-participate-wednesday-s-impeachment-hearing-n1093821?cid=sm_npd_nn_fb_ma","White House will not participate in Wednesday's impeachment hearing",5,35,"dec","2","True","True","True","True",NA,"True","7","7","7","7",NA,"7"
"41","dec 3_1",36,"3-Dec","rss_con","express.co","https://www.express.co.uk/news/uk/1212362/Donald-Trump-News-Jeremy-Corbyn-General-Election-Boris-Johnson-NHS","Donald Trump SLAMS Corbyn's NHS lies 'We want nothing to do with it!'",1,36,"dec","3","Misl/False","True","Misl/False",NA,"Misl/False","Misl/False","3","6","2",NA,"5","4"
"42","dec 3_2",37,"3-Dec","rss_lib","palmer report","https://www.palmerreport.com/analysis/the-sealed-indictment-a-that-donald-trump-needs-to-worry-about-more-than-ever/23359/","The sealed “Indictment A” that Donald Trump needs to worry about more than ever",2,37,"dec","3","Misl/False","Misl/False","CND",NA,"Misl/False","CND","2","2","1",NA,"3","1"
"43","dec 3_3",38,"3-Dec","rss_unclear","tribunist","https://tribunist.com/news/americans-bought-enough-guns-on-black-friday-to-arm-the-marine-corps-yet-again/","Americans Bought Enough Guns on Black Friday to Arm the Marine Corps – Yet Again!",3,38,"dec","3","True","True","Misl/False",NA,"True","CND","7","6","4",NA,"5","3"
"44","dec 3_4",39,"3-Dec","ct_con","fox news","https://www.foxnews.com/media/former-nfl-player-marine-jeremy-staat-kaepernick-disgrace","Marine veteran turned congressional candidate calls Kaepernick a 'national disgrace'",4,39,"dec","3","True","True","True",NA,"True","True","5","6","5",NA,"6","7"
"45","dec 3_5",40,"3-Dec","ct_lib","yahoo news","https://www.yahoo.com/news/duncan-hunter-guilty-plea-190447228.html?ncid=facebook_yahoonewsf_akfmevaatca","Duncan Hunter To Plead Guilty In Campaign Finance Case He Called 'Witch Hunt'",5,40,"dec","3","True","True","True",NA,"True","True","7","7","7",NA,"7","7"
"46","dec 4_1",41,"4-Dec","rss_con","dcclothesline","https://www.dcclothesline.com/2019/12/04/in-2018-86-of-those-arrested-for-violent-crime-in-los-angeles-were-non-white-5-were-white-the-city-is-28-white/","In 2018, 86% of Those Arrested for Violent Crime in Los Angeles Were Non-White (5% Were White): the City Is 28% White",1,41,"dec","4","Misl/False","Misl/False","Misl/False","Misl/False","CND","CND","2","4","1","2","4","2"
"47","dec 4_2",42,"4-Dec","rss_lib","crooksandliars","https://crooksandliars.com/2019/12/devin-nunes-shamelessly-lies-when-hannity","Devin Nunes Shamelessly Lies When Hannity Asks About Lev Parnas",2,42,"dec","4","Misl/False","True","True","Misl/False","Misl/False","Misl/False","5","5","4","4","5","2"
"48","dec 4_3",43,"4-Dec","rss_unclear","friendsforsyria","https://friendsforsyria.com/2019/12/04/ukrainian-neo-nazis-help-out-at-hong-kong-riots-pan-democrats-defend-them/","Ukrainian Neo-Nazis Help Out at Hong Kong Riots, Pan-Democrats Defend Them",3,43,"dec","4","CND","Misl/False","CND","Misl/False","True","Misl/False","3","1","3","4","4","2"
"49","dec 4_4",44,"4-Dec","ct_con","washington times","https://www.washingtontimes.com/news/2019/dec/3/devin-nunes-slaps-cnn-435-million-defamation-lawsu/","Devin Nunes slaps CNN with $435 million defamation lawsuit",4,44,"dec","4","True","Misl/False","True","Misl/False","True","True","6","5","5","5","6","6"
"50","dec 4_5",45,"4-Dec","ct_lib","huffington post","https://www.huffpost.com/entry/kamala-harris-dropping-out_n_5de6a263e4b0913e6f8684bd?ncid=fcbklnkushpmg00000063&utm_source=main_fb&utm_medium=facebook&utm_campaign=hp_fb_pages","Kamala Harris Dropping Out Of Presidential Race",5,45,"dec","4","True","True","True","True","True","True","7","7","6","6","7","7"
"51","dec 5_1",46,"5-Dec","rss_con","barenakedislam","https://barenakedislam.com/2019/12/05/ding-ding-ding-first-muslim-woman-elected-to-pennsylvania-house-of-representatives-has-been-arrested-for-stealing-500000-from-a-charity/","DING! DING! DING! First Muslim woman elected to Pennsylvania House of Representatives has been ARRESTED for stealing $500,000 from a charity",1,46,"dec","5","Misl/False","True",NA,"Misl/False","True","True","1","5",NA,"4","6","6"
"52","dec 5_2",47,"5-Dec","rss_lib","occupydemocrats","https://occupydemocrats.com/2019/12/04/trump-caught-by-reporters-patting-himself-on-back-for-insulting-justin-trudeau/","Trump caught by reporters patting himself on back for insulting Justin Trudeau",2,47,"dec","5","True","True",NA,"CND","True","CND","6","5",NA,"4","6","4"
"53","dec 5_3",48,"5-Dec","rss_unclear","zerohedge","https://www.zerohedge.com/markets/china-says-us-must-reduce-tariffs-phase-one-trade-deal-amid-stalled-talks","China Repeats US Must Reduce Tariffs For ""Phase One"" Trade Deal",3,48,"dec","5","True","True",NA,"CND","True","CND","6","6",NA,"4","6","6"
"54","dec 5_4",49,"5-Dec","ct_con","newsmax","https://www.newsmax.com/us/melaniatrump-barron-ukraine-impeachment/2019/12/04/id/944519/","Angry Melania Slams Impeachment Witness for Joking About Son",4,49,"dec","5","True","True",NA,"True","True","True","7","6",NA,"6","7","7"
